;time
-1,dynamic;366
-1,dynamic;360
-1,dynamic;357
-1,dynamic;357
-1,dynamic;365
-1,dynamic;365
-1,dynamic;357
-1,dynamic;359
-1,dynamic;357
-1,dynamic;357
0,dynamic;322
0,dynamic;344
0,dynamic;314
0,dynamic;313
0,dynamic;291
0,dynamic;295
0,dynamic;349
0,dynamic;343
0,dynamic;283
0,dynamic;341
1,dynamic;364
1,dynamic;358
1,dynamic;358
1,dynamic;358
1,dynamic;362
1,dynamic;359
1,dynamic;363
1,dynamic;355
1,dynamic;358
1,dynamic;361
2,dynamic;414
2,dynamic;405
2,dynamic;396
2,dynamic;360
2,dynamic;403
2,dynamic;422
2,dynamic;349
2,dynamic;397
2,dynamic;374
2,dynamic;407
3,dynamic;359
3,dynamic;372
3,dynamic;351
3,dynamic;365
3,dynamic;347
3,dynamic;353
3,dynamic;360
3,dynamic;364
3,dynamic;372
3,dynamic;355
4,dynamic;339
4,dynamic;336
4,dynamic;338
4,dynamic;340
4,dynamic;340
4,dynamic;333
4,dynamic;342
4,dynamic;338
4,dynamic;336
4,dynamic;334
5,dynamic;323
5,dynamic;324
5,dynamic;330
5,dynamic;321
5,dynamic;327
5,dynamic;328
5,dynamic;327
5,dynamic;340
5,dynamic;332
5,dynamic;324
6,dynamic;327
6,dynamic;344
6,dynamic;317
6,dynamic;333
6,dynamic;333
6,dynamic;315
6,dynamic;330
6,dynamic;333
6,dynamic;335
6,dynamic;309
7,dynamic;340
7,dynamic;302
7,dynamic;307
7,dynamic;334
7,dynamic;302
7,dynamic;345
7,dynamic;295
7,dynamic;347
7,dynamic;333
7,dynamic;347
8,dynamic;308
8,dynamic;348
8,dynamic;329
8,dynamic;353
8,dynamic;343
8,dynamic;281
8,dynamic;284
8,dynamic;345
8,dynamic;344
8,dynamic;299
9,dynamic;300
9,dynamic;320
9,dynamic;291
9,dynamic;316
9,dynamic;348
9,dynamic;344
9,dynamic;279
9,dynamic;346
9,dynamic;319
9,dynamic;318
10,dynamic;291
10,dynamic;344
10,dynamic;347
10,dynamic;318
10,dynamic;299
10,dynamic;349
10,dynamic;356
10,dynamic;358
10,dynamic;345
10,dynamic;329
11,dynamic;404
11,dynamic;436
11,dynamic;451
11,dynamic;456
11,dynamic;428
11,dynamic;425
11,dynamic;414
11,dynamic;429
11,dynamic;450
11,dynamic;430
12,dynamic;315
12,dynamic;348
12,dynamic;348
12,dynamic;287
12,dynamic;286
12,dynamic;341
12,dynamic;346
12,dynamic;344
12,dynamic;355
12,dynamic;282
13,dynamic;298
13,dynamic;354
13,dynamic;294
13,dynamic;346
13,dynamic;327
13,dynamic;349
13,dynamic;319
13,dynamic;350
13,dynamic;317
13,dynamic;297
14,dynamic;357
14,dynamic;325
14,dynamic;346
14,dynamic;290
14,dynamic;294
14,dynamic;345
14,dynamic;328
14,dynamic;334
14,dynamic;355
14,dynamic;350
15,dynamic;314
15,dynamic;314
15,dynamic;331
15,dynamic;325
15,dynamic;351
15,dynamic;323
15,dynamic;349
15,dynamic;326
15,dynamic;324
15,dynamic;317
16,dynamic;303
16,dynamic;333
16,dynamic;300
16,dynamic;352
16,dynamic;355
16,dynamic;355
16,dynamic;328
16,dynamic;300
16,dynamic;293
16,dynamic;329
