;time
-1,guided;89,0001
-1,guided;79,9999
-1,guided;81
-1,guided;80
-1,guided;79
-1,guided;80
-1,guided;79
-1,guided;79,0001
-1,guided;80,0001
-1,guided;80
0,guided;28,9999
0,guided;28,0001
0,guided;29,9999
0,guided;28,9999
0,guided;28
0,guided;26,0001
0,guided;26
0,guided;32,9999
0,guided;34
0,guided;34
1,guided;83
1,guided;87
1,guided;81
1,guided;80,0001
1,guided;79,9999
1,guided;80
1,guided;80
1,guided;80,0001
1,guided;80
1,guided;89,9999
2,guided;64,0001
2,guided;72,0001
2,guided;72,9999
2,guided;71
2,guided;71,9999
2,guided;65
2,guided;60,0001
2,guided;72
2,guided;60,0001
2,guided;68,9999
3,guided;65
3,guided;70,9999
3,guided;57,9999
3,guided;47
3,guided;52,0001
3,guided;50
3,guided;47,0001
3,guided;47
3,guided;48
3,guided;46,0001
4,guided;50
4,guided;40,0001
4,guided;40
4,guided;40,9999
4,guided;39,0001
4,guided;42,9999
4,guided;46,0001
4,guided;49
4,guided;45,9999
4,guided;48
5,guided;35,9999
5,guided;52,9999
5,guided;43,9999
5,guided;43,9999
5,guided;42,9999
5,guided;35,0001
5,guided;37
5,guided;48
5,guided;36,9999
5,guided;30,9999
6,guided;36
6,guided;31,0001
6,guided;35
6,guided;39,0001
6,guided;36,0001
6,guided;34,0001
6,guided;40,0001
6,guided;32,9999
6,guided;34,0001
6,guided;35
7,guided;39,0001
7,guided;38
7,guided;32,9999
7,guided;34
7,guided;36,0001
7,guided;32,9999
7,guided;36,9999
7,guided;36,9999
7,guided;44,9999
7,guided;39,9999
8,guided;35,0001
8,guided;39,0001
8,guided;36,9999
8,guided;36,0001
8,guided;31,0001
8,guided;32,9999
8,guided;32
8,guided;33
8,guided;29,0001
8,guided;33,9999
9,guided;32
9,guided;29,9999
9,guided;24,9999
9,guided;28,0001
9,guided;30,0001
9,guided;29
9,guided;27,0001
9,guided;31,0001
9,guided;26
9,guided;29,9999
10,guided;29
10,guided;23,0001
10,guided;27,0001
10,guided;23
10,guided;23
10,guided;23
10,guided;27
10,guided;25,0001
10,guided;25,9999
10,guided;25,9999
11,guided;21,9999
11,guided;28,9999
11,guided;26,0001
11,guided;24,0001
11,guided;25,0001
11,guided;23,9999
11,guided;30,0001
11,guided;24,0001
11,guided;24
11,guided;29
12,guided;24
12,guided;20,9999
12,guided;22,0001
12,guided;22
12,guided;20
12,guided;22
12,guided;23
12,guided;24
12,guided;23
12,guided;24,0001
13,guided;23
13,guided;25
13,guided;22
13,guided;21
13,guided;21
13,guided;21,0001
13,guided;20,9999
13,guided;21
13,guided;23
13,guided;24,9999
14,guided;23,9999
14,guided;20
14,guided;20,0001
14,guided;21
14,guided;20
14,guided;20,0001
14,guided;19,0001
14,guided;20
14,guided;20
14,guided;20
15,guided;21,9999
15,guided;20
15,guided;22
15,guided;20
15,guided;20,0001
15,guided;20
15,guided;19,9999
15,guided;24,0001
15,guided;25,0001
15,guided;28,0001
16,guided;21,9999
16,guided;19,9999
16,guided;21,9999
16,guided;19,0001
16,guided;21,0001
16,guided;22,9999
16,guided;19,9999
16,guided;19,9999
16,guided;21
16,guided;19,9999
