;time
-1,static;66
-1,static;61,0001
-1,static;62
-1,static;60,9999
-1,static;60,0001
-1,static;61,0001
-1,static;60
-1,static;60
-1,static;61
-1,static;60,9999
0,static;22,0001
0,static;26
0,static;19,9999
0,static;29,9999
0,static;23,9999
0,static;25,9999
0,static;27,9999
0,static;23
0,static;22
0,static;26,0001
1,static;65
1,static;63
1,static;62,0001
1,static;66,0001
1,static;61,0001
1,static;62
1,static;64,0001
1,static;63,9999
1,static;80
1,static;74
2,static;61,0001
2,static;69
2,static;48
2,static;50
2,static;54,0001
2,static;46
2,static;45
2,static;47,0001
2,static;45,9999
2,static;45,0001
3,static;37,9999
3,static;36,9999
3,static;35
3,static;45,0001
3,static;47
3,static;39,9999
3,static;35,9999
3,static;42
3,static;33
3,static;38,9999
4,static;45
4,static;40,0001
4,static;32,9999
4,static;36,0001
4,static;28,9999
4,static;29,9999
4,static;29
4,static;31
4,static;27,9999
4,static;37,9999
5,static;34,0001
5,static;30,9999
5,static;30
5,static;36,0001
5,static;26,9999
5,static;31
5,static;28,9999
5,static;30,0001
5,static;31
5,static;36,9999
6,static;34,0001
6,static;54
6,static;28
6,static;28
6,static;28,9999
6,static;24
6,static;27,0001
6,static;26,0001
6,static;31
6,static;24
7,static;23
7,static;25,9999
7,static;30
7,static;34,0001
7,static;34,0001
7,static;26
7,static;24,0001
7,static;28,9999
7,static;23,0001
7,static;22
8,static;27,9999
8,static;22,0001
8,static;23
8,static;21
8,static;28
8,static;33,0001
8,static;21
8,static;19,0001
8,static;36
8,static;33
9,static;24
9,static;27
9,static;27,0001
9,static;31,9999
9,static;25
9,static;28,9999
9,static;27,9999
9,static;21
9,static;21,0001
9,static;24
10,static;22
10,static;24,0001
10,static;21
10,static;24,0001
10,static;23
10,static;22,0001
10,static;20,0001
10,static;24
10,static;22
10,static;24
11,static;25
11,static;20,0001
11,static;22
11,static;24,9999
11,static;26,0001
11,static;19,0001
11,static;25,9999
11,static;22
11,static;26
11,static;24,9999
12,static;21,0001
12,static;46
12,static;22
12,static;21
12,static;22,9999
12,static;19,9999
12,static;22
12,static;22,0001
12,static;20
12,static;22
13,static;23
13,static;21
13,static;23,0001
13,static;21,0001
13,static;24,0001
13,static;21
13,static;19,9999
13,static;24,0001
13,static;22
13,static;20,0001
14,static;17
14,static;21,0001
14,static;19,9999
14,static;21
14,static;20,0001
14,static;22,9999
14,static;27,9999
14,static;19,0001
14,static;28,0001
14,static;22
15,static;19,9999
15,static;20,9999
15,static;20,9999
15,static;20
15,static;20
15,static;20,9999
15,static;19,0001
15,static;19
15,static;20
15,static;18,9999
16,static;23
16,static;18
16,static;20,0001
16,static;20
16,static;17,9999
16,static;18,0001
16,static;22,9999
16,static;21
16,static;18
16,static;20,0001
