;time
static, 1;16,9999
static, 1;16,0001
static, 1;27,0001
static, 1;25
static, 1;24,0001
static, 1;17,0001
static, 1;18
static, 1;16,0001
static, 1;18,0001
static, 1;16,9999
static, 2;25,0001
static, 2;17,9999
static, 2;19,0001
static, 2;19,0001
static, 2;20
static, 2;25,0001
static, 2;18,9999
static, 2;19
static, 2;18
static, 2;25,9999
static, 4;21,0001
static, 4;23,0001
static, 4;22
static, 4;16,9999
static, 4;18,0001
static, 4;17,0001
static, 4;18
static, 4;25,0001
static, 4;16,9999
static, 4;23
static, 8;17,0001
static, 8;16,9999
static, 8;16
static, 8;16,9999
static, 8;19
static, 8;16,0001
static, 8;18,0001
static, 8;19
static, 8;20
static, 8;17,0001
static, 16;21,9999
static, 16;19
static, 16;18,9999
static, 16;18
static, 16;17
static, 16;19,0001
static, 16;18
static, 16;22,0001
static, 16;18
static, 16;20
static, 32;23,9999
static, 32;32,0001
static, 32;35
static, 32;28,0001
static, 32;27,9999
static, 32;31,0001
static, 32;32,0001
static, 32;29
static, 32;24
static, 32;23,9999
static, 64;21,9999
static, 64;19
static, 64;23
static, 64;25,0001
static, 64;20,9999
static, 64;22
static, 64;20,0001
static, 64;25,0001
static, 64;22
static, 64;22
static, 128;20,9999
static, 128;20,9999
static, 128;21,0001
static, 128;21
static, 128;21
static, 128;22,0001
static, 128;21
static, 128;19,0001
static, 128;16
static, 128;21
static, 256;17,0001
static, 256;19,0001
static, 256;16,9999
static, 256;16
static, 256;15,0001
static, 256;16,0001
static, 256;15,9999
static, 256;16,0001
static, 256;21
static, 256;17,0001
dynamic, 1;292
dynamic, 1;359
dynamic, 1;354
dynamic, 1;332
dynamic, 1;317
dynamic, 1;368
dynamic, 1;379
dynamic, 1;376
dynamic, 1;371
dynamic, 1;383
dynamic, 2;168
dynamic, 2;171
dynamic, 2;185
dynamic, 2;176
dynamic, 2;190
dynamic, 2;190
dynamic, 2;185
dynamic, 2;186
dynamic, 2;181
dynamic, 2;178
dynamic, 4;95
dynamic, 4;122
dynamic, 4;96,9999
dynamic, 4;92,9999
dynamic, 4;89,0001
dynamic, 4;84,0001
dynamic, 4;88,0001
dynamic, 4;96,0001
dynamic, 4;85,0001
dynamic, 4;100
dynamic, 8;54
dynamic, 8;53,9999
dynamic, 8;57,9999
dynamic, 8;55,9999
dynamic, 8;58
dynamic, 8;56,0001
dynamic, 8;59,0001
dynamic, 8;54
dynamic, 8;52,0001
dynamic, 8;47,9999
dynamic, 16;35
dynamic, 16;36
dynamic, 16;33,0001
dynamic, 16;33,9999
dynamic, 16;35
dynamic, 16;34,9999
dynamic, 16;33,9999
dynamic, 16;37
dynamic, 16;34,0001
dynamic, 16;36,0001
dynamic, 32;32,0001
dynamic, 32;28
dynamic, 32;27,9999
dynamic, 32;32
dynamic, 32;30,9999
dynamic, 32;30,9999
dynamic, 32;29,9999
dynamic, 32;28
dynamic, 32;30,9999
dynamic, 32;38
dynamic, 64;26,9999
dynamic, 64;29,0001
dynamic, 64;29,0001
dynamic, 64;35
dynamic, 64;27,9999
dynamic, 64;32,0001
dynamic, 64;29,0001
dynamic, 64;25,9999
dynamic, 64;30,9999
dynamic, 64;24,9999
dynamic, 128;24,0001
dynamic, 128;25
dynamic, 128;25
dynamic, 128;23,9999
dynamic, 128;21
dynamic, 128;25,9999
dynamic, 128;24
dynamic, 128;21
dynamic, 128;21,9999
dynamic, 128;22
dynamic, 256;21,0001
dynamic, 256;20,9999
dynamic, 256;20,0001
dynamic, 256;19,9999
dynamic, 256;23
dynamic, 256;23
dynamic, 256;23
dynamic, 256;19,0001
dynamic, 256;23
dynamic, 256;23,0001
guided, 1;28
guided, 1;31
guided, 1;30,9999
guided, 1;35
guided, 1;31,9999
guided, 1;28
guided, 1;27,0001
guided, 1;31
guided, 1;26,0001
guided, 1;27,9999
guided, 2;26
guided, 2;33,0001
guided, 2;28,0001
guided, 2;29
guided, 2;30,9999
guided, 2;33,0001
guided, 2;28
guided, 2;31,0001
guided, 2;26,9999
guided, 2;30
guided, 4;29
guided, 4;28
guided, 4;30
guided, 4;30,9999
guided, 4;27,0001
guided, 4;27
guided, 4;34
guided, 4;29,9999
guided, 4;32
guided, 4;27
guided, 8;29
guided, 8;32,0001
guided, 8;28,0001
guided, 8;25
guided, 8;29
guided, 8;27,0001
guided, 8;30,9999
guided, 8;29,9999
guided, 8;34,0001
guided, 8;28,9999
guided, 16;32,0001
guided, 16;35
guided, 16;33,0001
guided, 16;33,0001
guided, 16;33,9999
guided, 16;32
guided, 16;31
guided, 16;34
guided, 16;42
guided, 16;35,9999
guided, 32;30,0001
guided, 32;31,9999
guided, 32;33
guided, 32;35,9999
guided, 32;32
guided, 32;29
guided, 32;33
guided, 32;32
guided, 32;27,0001
guided, 32;30,9999
guided, 64;28
guided, 64;28
guided, 64;30,9999
guided, 64;25,9999
guided, 64;29,0001
guided, 64;31
guided, 64;29
guided, 64;35
guided, 64;33,0001
guided, 64;31,9999
guided, 128;27,0001
guided, 128;33
guided, 128;39,0001
guided, 128;29,0001
guided, 128;31,0001
guided, 128;38,0001
guided, 128;32,0001
guided, 128;31,9999
guided, 128;32,9999
guided, 128;28
guided, 256;28
guided, 256;33
guided, 256;30,0001
guided, 256;26,0001
guided, 256;26,0001
guided, 256;27,9999
guided, 256;32
guided, 256;26,9999
guided, 256;25,0001
guided, 256;32
